id_original,id_simple,Sample Date,Sample Year,Processing Date,Lake,Gear,Site,Time,Processing Crew,Species,Total length (mm),Weight (g),sex,mature,gonad wt (only M BG),Isotope ID,age,diet weight (g),diet contents (%),,Zooplankton,unknown benthic invert,vegetation,unknown terr invert,unknown fish,Mayfly nymph,Mayfly adult,Amphipod,Chironomid larvae,Oligochaete,Chironomid pupa,Chironomid adult,Diptera larvae,Diptera adult,YP,Megaloptera larvae,beetle,Crayfish,collembola,leech,Odonata nymph,Odonata adult,snail,CMM,BG,frog (tadpole_,frog (adult),BLN,caddisfly,LMB,LMB YOY,BC,bivalve,veligers,JD,ID,GS,Lepomis spp,YOY (unknown),fish eggs,unknown,Notes
MCD004_2018,MCD004,5/21/18,2018,NA,MCD,EF,NA,NA,"CS, MC",LMB,221,143,M,Y,NA,MCD004_2018,,0.5,100% BENTHIC INVERT,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100% BENTHIC INVERT
MCD005_2018,MCD005,5/21/18,2018,NA,MCD,EF,NA,NA,"CS, MC",LMB,365,701,F,Y,NA,MCD005_2018,,0,EMPTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMPTY
MCD006_2018,MCD006,5/21/18,2018,NA,MCD,EF,NA,NA,"CS, MC",LMB,189,87,M,N,NA,MCD006_2018,,1,100% UNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100% UNK
MCD007_2018,MCD007,5/21/18,2018,NA,MCD,EF,NA,NA,"CS, MC",LMB,111,20,UNK,N,NA,MCD007_2018,,1.5,100% FISH,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100% FISH
MCD008_2018,MCD008,5/21/18,2018,NA,MCD,EF,NA,NA,"CS, MC",LMB,147,36.5,M,N,NA,MCD008_2018,,0.5,100% UNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,100% UNK
MCD009_2018,MCD009,5/21/18,2018,NA,MCD,EF,NA,NA,"CS, MC",LMB,127,21,UNK,N,NA,MCD009_2018,,0.5,"90% FISH, 10% BENTHIC INVERT",,,0.05,,,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"90% FISH, 10% BENTHIC INVERT"
MCD010_2018,MCD010,5/21/18,2018,NA,MCD,EF,NA,NA,"CS, MC",LMB,149,43,UNK,N,NA,MCD010_2018,,1.5,"85% FISH, 15% PLANT",,,,,0.225,1.275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"85% FISH, 15% PLANT"
MCD011_2018,MCD011,5/21/18,2018,NA,MCD,EF,NA,NA,"CS, MC",LMB,360,748.5,M,Y,NA,MCD011_2018,,2,100% UNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,100% UNK
MCD012_2018,MCD012,5/21/18,2018,NA,MCD,EF,NA,NA,"CS, MC",LMB,125,22.5,UNK,N,NA,MCD012_2018,,0.5,100% PLANT,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100% PLANT
MCD013_2018,MCD013,5/21/18,2018,NA,MCD,EF,NA,NA,"CS, MC",LMB,239,191.5,F,Y,NA,MCD013_2018,,5.5,100% FISH - PANFISH SPP.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,,,,100% FISH - PANFISH SPP.
MCD014_2018,MCD014,6/6/18,2018,NA,MCD,EF,NA,NA,"CS, MC",LMB,375,739.5,M,Y,NA,MCD014_2018,,2.5,"20% FISH, 80% UNK",,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,"20% FISH, 80% UNK"
MCD015_2018,MCD015,6/6/18,2018,NA,MCD,EF,NA,NA,"CS, MC",LMB,342,380,M,Y,NA,MCD015_2018,,5,100% BLUEGILL,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,100% BLUEGILL
MCD016_2018,MCD016,5/22/18,2018,NA,MCD,EF,NA,NA,"CS, MC",LMB,252,226.5,F,Y,NA,MCD016_2018,,1.5,100% FISH ,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100% FISH 
MCD017_2018,MCD017,5/22/18,2018,NA,MCD,EF,NA,NA,"CS, MC",PS,176,124.5,M,Y,NA,MCD017_2018,,0,EMPTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMPTY
MCD018_2018,MCD018,5/22/18,2018,NA,MCD,EF,NA,NA,"CS, MC",LMB,277,303.5,M,Y,NA,MCD018_2018,,1.5,100% UNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,100% UNK
MCD019_2018,MCD019,5/22/18,2018,NA,MCD,EF,NA,NA,"CS, MC",YP,255,197.5,F,Y,NA,MCD019_2018,,0.5,100% UNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,100% UNK
MCD020_2018,MCD020,5/22/18,2018,NA,MCD,EF,NA,NA,"CS, MC",LMB,194,98,F,Y,NA,MCD020_2018,,0.5,100% FISH,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100% FISH
MCD021_2018,MCD021,5/22/18,2018,NA,MCD,EF,NA,NA,"CS, MC",LMB,139,29,UNK,N,NA,MCD021_2018,,0.5,100% UNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,100% UNK
MCD022_2018,MCD022,5/21/18,2018,7/12/18,MCD,EF,NA,NA,MC,LMB,345,730,M,Y,NA,MCD022,,13.4,100 fish,,,,,,13.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 fish
MCD023_2018,MCD023,5/21/18,2018,7/12/18,MCD,EF,NA,NA,MC,LMB,216,150,M,Y,NA,MCD023,,0,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,empty
MCD024_2018,MCD024,5/21/18,2018,7/12/18,MCD,EF,NA,NA,MC,PS,175,142,M,Y,NA,MCD024,,0,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,empty
MCD025_2018,MCD025,5/21/18,2018,7/12/18,MCD,EF,NA,NA,MC,BC,198,105,M,Y,NA,MCD025,,0.2,100 b inv,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 b inv
MCD026_2018,MCD026,5/21/18,2018,7/12/18,MCD,EF,NA,NA,MC,BC,224,159,M,Y,NA,MCD026,,0.6,100 b inv,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 b inv
MCD027_2018,MCD027,5/21/18,2018,7/12/18,MCD,EF,NA,NA,MC,BC,201,105,M,Y,NA,MCD027,,0,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,empty
MCD028_2018,MCD028,5/21/18,2018,7/12/18,MCD,EF,NA,NA,MC,BC,231,173,F,Y,NA,MCD028,,0.4,100 b inv,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 b inv
MCD029_2018,MCD029,5/21/18,2018,7/12/18,MCD,EF,NA,NA,MC,BC,202,114,M,Y,NA,MCD029,,1,100 b inv,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 b inv
MCD030_2018,MCD030,5/21/18,2018,7/12/18,MCD,EF,NA,NA,MC,BC,204,116,M,Y,NA,MCD030,,0.4,100 b inv,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 b inv
MCD031_2018,MCD031,5/21/18,2018,7/12/18,MCD,EF,NA,NA,MC,BC,163,56,M,Y,NA,MCD031,,0.2,100 b inv,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 b inv
MCD032_2018,MCD032,5/21/18,2018,7/12/18,MCD,EF,NA,NA,MC,BC,206,125,M,Y,NA,MCD032,,0.2,100 b inv,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 b inv
MCD033_2018,MCD033,5/21/18,2018,7/12/18,MCD,EF,NA,NA,MC,BC,195,103,M,Y,NA,MCD033,,0.4,100 b inv,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 b inv
MCD034_2018,MCD034,5/21/18,2018,7/12/18,MCD,EF,NA,NA,MC,BC,215,124,M,Y,NA,MCD034,,0.2,100 b inv,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 b inv
MCD035_2018,MCD035,5/21/18,2018,7/12/18,MCD,EF,NA,NA,MC,BC,196,97,M,Y,NA,MCD035,,0.2,100 b inv,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 b inv
MCD036_2018,MCD036,5/21/18,2018,7/12/18,MCD,EF,NA,NA,MC,BC,145,36,F,N,NA,MCD036,,0.6,100 chiron,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 chiron
MCD037_2018,MCD037,5/21/18,2018,7/12/18,MCD,EF,NA,NA,MC,BC,213,138,M,Y,NA,MCD037,,0.2,100 b inv,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 b inv
MCD038_2018,MCD038,5/21/18,2018,7/12/18,MCD,EF,NA,NA,MC,BC,202,115,F,Y,NA,MCD038,,0.6,100 b inv,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 b inv
MCD039_2018,MCD039,5/21/18,2018,7/12/18,MCD,EF,NA,NA,MC,BC,243,202,F,Y,NA,MCD039,,0.6,100 b inv,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 b inv
MCD040_2018,MCD040,5/21/18,2018,7/12/18,MCD,EF,NA,NA,MC,BC,192,95,F,Y,NA,MCD040,,0.2,100 b inv,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 b inv
MCD041_2018,MCD041,5/21/18,2018,7/12/18,MCD,EF,NA,NA,MC,BC,192,93,M,Y,NA,MCD041,,0.3,100 b inv,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 b inv
MCD042_2018,MCD042,5/21/18,2018,7/12/18,MCD,EF,NA,NA,MC,BC,200,122,M,Y,NA,MCD042,,0.3,100 b inv,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 b inv
MCD043_2018,MCD043,5/21/18,2018,7/12/18,MCD,EF,NA,NA,MC,BC,217,138,F,Y,NA,MCD043,,0.9,100 b inv,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 b inv
MCD044_2018,MCD044,5/21/18,2018,7/12/18,MCD,EF,NA,NA,MC,BC,201,100,M,Y,NA,MCD044,,0.3,100 b inv,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 b inv
MCD045_2018,MCD045,5/21/18,2018,7/12/18,MCD,EF,NA,NA,MC,BC,191,97,F,Y,NA,MCD045,,0.5,100 b inv,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 b inv
MCD046_2018,MCD046,5/21/18,2018,7/12/18,MCD,EF,NA,NA,MC,BC,220,140,F,Y,NA,MCD046,,0.7,100 b inv,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 b inv
MCD047_2018,MCD047,5/21/18,2018,7/12/18,MCD,EF,NA,NA,MC,BC,229,174,F,Y,NA,MCD047,,0.3,100 b inv,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 b inv
MCD048_2018,MCD048,5/21/18,2018,7/13/18,MCD,EF,NA,NA,MC,PS,142,67.5,F,Y,NA,MCD048,,0.4,100 oligo,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 oligo
MCD049_2018,MCD049,5/21/18,2018,7/13/18,MCD,EF,NA,NA,MC,PS,141,56.1,M,Y,NA,MCD049,,0.5,"50 chiro, 50 oligo",,,,,,,,,,,0.25,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"50 chiro, 50 oligo"
MCD050_2018,MCD050,5/21/18,2018,7/13/18,MCD,EF,NA,NA,MC,PS,139,55.3,M,N,NA,MCD050,,0.2,100 b inv,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 b inv
MCD051_2018,MCD051,5/21/18,2018,7/13/18,MCD,EF,NA,NA,MC,PS,142,63,M,N,NA,MCD051,,0.9,100 b inv,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 b inv
MCD052_2018,MCD052,5/21/18,2018,7/13/18,MCD,EF,NA,NA,MC,PS,148,44.1,M,N,NA,MCD052,,0.3,100 b inv,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 b inv
MCD053_2018,MCD053,5/21/18,2018,7/13/18,MCD,EF,NA,NA,MC,PS,115,28.4,F,N,NA,MCD053,,0.3,100 chiron,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 chiron
MCD054_2018,MCD054,5/21/18,2018,7/13/18,MCD,EF,NA,NA,MC,PS,117,30.2,F,Y,NA,MCD054,,0.2,100 b inv,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 b inv
MCD055_2018,MCD055,5/21/18,2018,7/13/18,MCD,EF,NA,NA,MC,PS,117,33.5,F,Y,NA,MCD055,,0.6,100 b inv,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 b inv
MCD056_2018,MCD056,5/21/18,2018,7/13/18,MCD,EF,NA,NA,MC,PS,128,43.6,M,N,NA,MCD056,,0.7,100 chiron,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 chiron
MCD057_2018,MCD057,5/21/18,2018,7/13/18,MCD,EF,NA,NA,MC,PS,114,28.1,F,N,NA,MCD057,,0.2,100 b inv,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 b inv
MCD058_2018,MCD058,5/21/18,2018,7/13/18,MCD,EF,NA,NA,MC,PS,115,29.4,M,N,NA,MCD058,,0.4,100 b inv,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 b inv
MCD059_2018,MCD059,5/21/18,2018,7/13/18,MCD,EF,NA,NA,MC,PS,110,27.9,F,Y,NA,MCD059,,0.7,100 b inv,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 b inv
MCD060_2018,MCD060,5/21/18,2018,7/13/18,MCD,EF,NA,NA,MC,PS,106,25.6,M,N,NA,MCD060,,0.3,100 b inv,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 b inv
MCD061_2018,MCD061,5/21/18,2018,7/13/18,MCD,EF,NA,NA,MC,PS,111,26.9,M,N,NA,MCD061,,0.4,100 b inv,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 b inv
MCD062_2018,MCD062,5/21/18,2018,7/13/18,MCD,EF,NA,NA,MC,PS,112,30.7,F,Y,NA,MCD062,,0.5,100 b inv,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 b inv
MCD063_2018,MCD063,5/21/18,2018,7/13/18,MCD,EF,NA,NA,MC,PS,112,31.4,M,N,NA,MCD063,,0.6,"90 chiron, 10 bivalve",,,,,,,,,,,,,0.54,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,"90 chiron, 10 bivalve"
MCD064_2018,MCD064,5/21/18,2018,7/13/18,MCD,EF,NA,NA,MC,PS,103,24.1,M,N,NA,MCD064,,0.1,100 bivalve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,100 bivalve
MCD065_2018,MCD065,5/21/18,2018,7/13/18,MCD,EF,NA,NA,MC,PS,113,26.8,F,Y,NA,MCD065,,0.3,100 b inv,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 b inv
MCD066_2018,MCD066,5/21/18,2018,7/13/18,MCD,EF,NA,NA,MC,PS,101,17.8,F,Y,NA,MCD066,,0.2,100 b inv,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 b inv
MCD067_2018,MCD067,5/21/18,2018,7/13/18,MCD,EF,NA,NA,MC,PS,91,14.1,M,N,NA,MCD067,,0.1,100 b inv,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 b inv
MCD068_2018,MCD068,5/21/18,2018,7/13/18,MCD,EF,NA,NA,MC,PS,94,15.6,M,N,NA,MCD068,,0.1,"50 chiro, 50 oligo",,,,,,,,,,,0.05,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"50 chiro, 50 oligo"
MCD069_2018,MCD069,5/21/18,2018,7/13/18,MCD,EF,NA,NA,MC,PS,101,18.3,F,Y,NA,MCD069,,0.2,100 b inv,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 b inv
MCD070_2018,MCD070,5/21/18,2018,7/13/18,MCD,EF,NA,NA,MC,PS,93,15.7,M,N,NA,MCD070,,0.2,100 b inv,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 b inv
MCD071_2018,MCD071,5/21/18,2018,7/13/18,MCD,EF,NA,NA,MC,PS,87,12.9,F,N,NA,MCD071,,0.1,100 b inv,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 b inv
MCD072_2018,MCD072,5/21/18,2018,7/13/18,MCD,EF,NA,NA,MC,PS,93,15.1,F,N,NA,MCD072,,0.1,100 b inv,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 b inv
MCD073_2018,MCD073,5/21/18,2018,7/13/18,MCD,EF,NA,NA,MC,PS,83,9.3,M,N,NA,MCD073,,0.1,100 chiron,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 chiron
MCD074_2018,MCD074,5/21/18,2018,7/13/18,MCD,EF,NA,NA,MC,PS,110,24.4,M,N,NA,MCD074,,0.2,100 b inv,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 b inv
MCD075_2018,MCD075,5/21/18,2018,7/13/18,MCD,EF,NA,NA,MC,PS,79,8.6,U,N,NA,MCD075,,0.1,"75 odonata, 25 b inv",,,0.025,,,,,,,,,,,,,,,,,,,,0.075,,,,,,,,,,,,,,,,,,,,"75 odonata, 25 b inv"
MCD076_2018,MCD076,5/21/18,2018,7/13/18,MCD,EF,NA,NA,MC,PS,88,13.2,M,N,NA,MCD076,,0.2,"75 bivalve, 25 chiron",,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,"75 bivalve, 25 chiron"
MCD077_2018,MCD077,5/21/18,2018,7/13/18,MCD,EF,NA,NA,MC,PS,62,3.9,U,N,NA,MCD077,,0.1,100 b inv,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 b inv
MCD078_2018,MCD078,5/21/18,2018,7/13/18,MCD,EF,NA,NA,MC,BG,131,33.6,F,Y,NA,MCD078,,0.3,100 b inv,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 b inv
MCD079_2018,MCD079,5/21/18,2018,7/13/18,MCD,EF,NA,NA,MC,BG,138,38.6,M,Y,0.4,MCD079,,0.2,100 b inv,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 b inv
MCD080_2018,MCD080,5/21/18,2018,7/13/18,MCD,EF,NA,NA,MC,BG,134,33.9,M,Y,0.3,MCD080,,0.3,"25 t inv, 75 b inv",,,0.225,,0.075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25 t inv, 75 b inv"
