duplicate,replicate,id_original_iso,id_simple_iso,delta13_C,total_C_ug,C.Comment,delta15_N,total_N_ug,N.Comment,tray_name,lake,year,well_id,material_type,sample_weight,id_year,id_original_fish,id_simple_fish,Lake,Processing.Crew,Species,tl.mm,wt.g,sex,mature,Isotope.ID,diet.wt.g,diet.contents.note,Zooplankton,unknown.benthic.invert,vegetation,unknown.terr.invert,unknown.fish,Mayfly.nymph,Mayfly.adult,Amphipod,Chironomid.larvae,Oligochaete,Chironomid.pupa,Chironomid.adult,Diptera.larvae,Diptera.adult,YP,Megaloptera.larvae,beetle,Crayfish,collembola,leech,Odonata.nymph,Odonata.adult,snail,CMM,BG,frog..tadpole_,frog..adult.,BLN,caddisfly,LMB,LMB.YOY,BC,bivalve,veligers,JD,ID,GS,Lepomis.spp,YOY..unknown.,fish.eggs
FALSE,n,MCD306-2020,MCD306,-31.07,337.59,,6.86,79.92,,MCD2020,MCD,2020,D6,fish,1.4,MCD306_2020,MCD306_2020,MCD306,MCD,UWSP,RB,85,15,M,N,MCD306_2020,1,100% benthic invert,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,n,TL275,TL275,-25.04,523.89,,2.92,81.49,,MCD2020,MCD,2020,H3,fish,1.4,TL275_2020,TL275,TL275,MCD,UW,WAE,329,NA,NA,NA,TL275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,n,MCD076-2018,MCD076,-26.69,310.11,,7.16,92.1,,MCD2018,MCD,2018,E3,fish,1.6,MCD076_2018,MCD076_2018,MCD076,MCD,MC,PS,88,13.2,M,N,MCD076,0.2,"75 bivalve, 25 chiron",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,NA,NA,NA,NA,NA,NA,NA
FALSE,n,AA077,AA077,-27.04,466.31,,2.6,94.6,,SB2020,SB,2020,A2,zoobenthos,1.8,AA077_2020,AA077,AA077,SB,UW,snail,NA,NA,NA,NA,AA077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,n,AA078,AA078,-29.92,493.51,,1.84,96.61,,SB2020,SB,2020,A3,zoobenthos,1,AA078_2020,AA078,AA078,SB,UW,snail,NA,NA,NA,NA,AA078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,n,MCD474-2018,MCD474,-26.8,339.4,,8.97,103.65,,MCD2018,MCD,2018,D10,fish,1.5,MCD474_2018,MCD474_2018,MCD474,MCD,UWSP,LMB,383,1034,F,Y,MCD474_2018,9.38,100% CRAYFISH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,n,SBzb81518,SBzb81518,-56.36,537.06,,-3.36,110.66,,SB2018,SB,2018,B6,zoobenthos,1.3,SBzb81518_2018,SBzb81518,SBzb81518,SB,NA,chironomidae_littoral,NA,NA,NA,NA,SBzb81518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,n,SBzoop17,SBzoop17,-35.08,611.43,,3.13,111.28,,SB2017,SB,2017,B6,zooplankton,1.7,SBzoop17_2017,SBzoop17,SBzoop17,SB,NA,holopediem,NA,NA,NA,NA,SBzoop17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,n,MCD082-2020,MCD082,-25.02,520.68,,2.63,114.42,,MCD2020,MCD,2020,H4,fish,1.2,MCD082_2020,MCD082_2020,MCD082,MCD,UW,YP,24,0.5,U,N,MCD082_2020,0,Empty,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,n,MCD053-2020,MCD053,-32.29,597.18,,2.96,115.47,,MCD2020,MCD,2020,H2,fish,1.3,MCD053_2020,MCD053_2020,MCD053,MCD,UWSP,WAE,165,41,M,U,MCD053_2020,0,EMPTY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,n,MCD033,MCD033,-29.9,415.66,,6.96,120.79,,MCD2017,MCD,2017,E2,fish,0.8,MCD033_2017,MCD033,MCD033,MCD,CS,BG,40,0.617,UNK,UNK,MCD033,0,EMPTY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,NA,NA,NA
FALSE,y,TL276A,TL276A,-31.18,411.32,,6.75,129.62,,MCD2020,MCD,2020,C11,fish,1.5,TL276A_2020,TL276A,TL276A,MCD,UW,NP,405,NA,NA,NA,TL276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,y,TL276B,TL276B,-29.30,384.77,,6.37,121.82,,MCD2020,MCD,2020,C11,fish,1.5,TL276B_2020,TL276B,TL276B,MCD,UW,NP,405,NA,NA,NA,TL276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,n,CS18,CS18,-30.77,396.36,,11.43,123.82,,SB2018,SB,2018,D4,fish,0.9,CS18_2018,CS18,CS18,SB,"HE, AD, MC",WAE,330,226,NA,NA,CS18,0.1,100 b inv,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,y,MCD238A-2018,MCD238A,-29.20,429.92,,10.10,134.33,,MCD2018,MCD,2018,A4,fish,1.6,MCD238A_2018,MCD238A,MCD238A,MCD,MC,BG,74,5.4,UNK,N,MCD238,0.1,100 zoop,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,y,MCD238B-2018,MCD238B,-26.79,398.07,,9.35,124.38,,MCD2018,MCD,2018,A4,fish,1.6,MCD238B_2018,MCD238B,MCD238B,MCD,MC,BG,74,5.4,UNK,N,MCD238,0.1,100 zoop,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,n,MCD208-2018,MCD208,-28.05,414.66,,7.23,124.38,,MCD2018,MCD,2018,E9,fish,1.3,MCD208_2018,MCD208_2018,MCD208,MCD,MC,RB,151,80.5,F,Y,MCD208,3.3,100 odonata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,n,MCDzb8117,MCDzb8117,-20.86,599.1,,1.36,125.72,,MCD2017,MCD,2017,C11,zoobenthos,2,MCDzb8117_2017,MCDzb8117,MCDzb8117,MCD,NA,chironomidae_littoral,NA,NA,NA,NA,MCDzb8117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,n,SB313-2018,SB313,-34.44,417.26,,8.35,125.85,,SB2018,SB,2018,A3,fish,1.3,SB313_2018,SB313_2018,SB313,SB,UWSP,BG,212,200,F,Y,SB313_2018,0.725,100% INVERTS,NA,0.725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,n,MCD123-2020,MCD123,-26.28,403.88,,8.91,126.92,,MCD2020,MCD,2020,G3,fish,1.2,MCD123_2020,MCD123_2020,MCD123,MCD,UW,LMB,73,6,M,N,MCD123_2020,0,Empty,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,n,MCD252-2020,MCD252,-29.36,704.23,,7.12,127.52,,MCD2020,MCD,2020,D5,fish,1.3,MCD252_2020,MCD252_2020,MCD252,MCD,UW,RB,58,4,U,N,MCD252_2020,1,100% aquatic invert,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,n,MCD057-2019,MCD057,-29.36,425.01,,6.13,130.24,,MCD2019-1,MCD,2019,F7,fish,1.6,MCD057_2019,MCD057_2019,MCD057,MCD,"AA, MC, LF",BG,109,19,F,Y,MCD057_2019,0.5,"25% BI, 75% ZOOP",0.375,0.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,n,TL03,TL03,-32.94,423.92,,8.72,131.1,,SB2017,SB,2017,C1,fish,1.2,TL03_2017,TL03,TL03,SB,"HE, LF, AD, MC, KE",BG,121,31,NA,NA,TL03,0.5,"50 zoop, 50 b. inv",0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,NA,NA,NA
FALSE,n,TL27,TL27,-33,423.92,,8.24,131.1,,SB2017,SB,2017,C7,fish,1.1,TL27_2017,TL27,TL27,SB,"KE, AD",GS,126,18,NA,NA,TL27,0,empty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,NA,NA,NA
FALSE,n,MCD355-2020,MCD355,-27.85,578.39,,6.7,131.17,,MCD2020,MCD,2020,D3,fish,1.4,MCD355_2020,MCD355_2020,MCD355,MCD,UWSP,PS,118,30,M,N,MCD355_2020,1,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,n,AA104,AA104,-28.6,536.61,,5.94,131.87,,MCD2020,MCD,2020,C2,fish,1.3,AA104_2020,AA104,AA104,MCD,UW,GS,65,2.4,NA,NA,AA104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,n,SB003-2019,SB003,-30.99,502.82,,6.85,132.97,,SB2019,SB,2019,A9,fish,1,SB003_2019,SB003_2019,SB003,SB,AA ,CMM,58,1.9,NA,NA,SB003_2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,n,SB268-2018,SB268,-33.3,449.31,,9.36,133.15,,SB2018,SB,2018,C5,fish,1.2,SB268_2018,SB268_2018,SB268,SB,UWSP,BG,110,22,M,Y,SB268_2018,0.09,100% INVERTS,NA,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,n,AA075,AA075,-31.42,663.33,,4.04,134.41,,SB2020,SB,2020,A4,zoobenthos,1.3,AA075_2020,AA075,AA075,SB,UW,water scorpion,NA,NA,NA,NA,AA075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,n,SB261-2019,SB261,-32.27,454.4,,6.28,134.57,,SB2019,SB,2019,B9,fish,1.3,SB261_2019,SB261_2019,SB261,SB,UWSP,YP,49,1,UNK,N,SB261_2019,NA,EMPTY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,n,MCD247-2019,MCD247,-27.59,512.14,,5.95,135.5,,MCD2019-1,MCD,2019,C4,fish,1.5,MCD247_2019,MCD247_2019,MCD247,MCD,UW,ID,45,0.8,NA,NA,MCD247_2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,n,MCD136-2020,MCD136,-31.83,600.16,,3,138.51,,MCD2020,MCD,2020,H6,fish,1.5,MCD136_2020,MCD136_2020,MCD136,MCD,UWSP,YP,146,30,M,Y,MCD136_2020,0,EMPTY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,n,TL29,TL29,-33.74,464.47,,7.97,138.93,,SB2017,SB,2017,C6,fish,1,TL29_2017,TL29,TL29,SB,"KE, AD",BG,54,2,NA,NA,TL29,0,empty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,NA,NA,NA
FALSE,n,AA055,AA055,-30.93,490.63,,8.35,140.87,,MCD2020,MCD,2020,G4,fish,1.4,AA055_2020,AA055,AA055,MCD,UW,PS,164,106,F,NA,AA055,1.6,benthic invert,NA,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,n,MCD432-2020,MCD432,-26.8,502.88,,8.11,141.2,,MCD2020,MCD,2020,E2,fish,1.4,MCD432_2020,MCD432_2020,MCD432,MCD,UWSP,YP,182,91,F,Y,MCD432_2020,0,EMPTY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,n,MCD156-2020,MCD156,-28.35,480.17,,7.32,141.24,,MCD2020,MCD,2020,B12,fish,1.3,MCD156_2020,MCD156_2020,MCD156,MCD,UW,GRS,72,9,F,N,MCD156_2020,0,Empty,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,n,TL239,TL239,-28.76,454.5,,5.65,141.36,,MCD2017,MCD,2017,G12,fish,1,TL239_2017,TL239,TL239,MCD,"KE, LF, QS",SS,118,15,NA,NA,TL239,0.5,"10 b inv, 90 zoops",0.45,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,NA,NA,NA
FALSE,n,MCD314-2019,MCD314,-28.88,683.47,,5.86,142.4,,MCD2019-1,MCD,2019,C3,fish,1.3,MCD314_2019,MCD314_2019,MCD314,MCD,AA ,ID,57,1.2,NA,NA,MCD314_2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,n,TL104,TL104,-32.99,466.31,,9.35,142.66,,SB2017,SB,2017,D9,fish,1.2,TL104_2017,TL104,TL104,SB,"QS, KE",YP,130,32.5,NA,NA,TL104,1.5,"90 b. inv, 10 plant",0,1.35,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,NA,NA,NA
FALSE,n,MCD299-2018,MCD299,-28.69,478.21,,7.87,142.91,,MCD2018,MCD,2018,E4,fish,1.3,MCD299_2018,MCD299_2018,MCD299,MCD,UWSP,PS,184,159,M,Y,MCD299_2018,0.582,100% MACROINVERTS,NA,0.582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,n,TL279,TL279,-31.98,458.29,,10.67,143.88,,SB2020,SB,2020,D1,fish,1,TL279_2020,TL279,TL279,SB,UW,WAE,455,NA,NA,NA,TL279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,n,HE40,HE40,-30.7,483.07,,5.92,144.51,,MCD2017,MCD,2017,D12,fish,1,HE40_2017,HE40,HE40,MCD,"HE, KMP, MC",BG,53,2,NA,NA,HE40,0.1,100 zoop,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,NA,NA,NA
FALSE,y,SB018A-2020,SB018A,-36.89,502.37,,8.53,153.40,,SB2020,SB,2020,C7,fish,1.1,SB018A_2020,SB018A_2020,SB018A,SB,UWSP,BG,183,99,F,Y,SB018_2020,0,EMPTY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,y,SB018B-2020,SB018B,-34.87,469.94,,7.98,144.85,,SB2020,SB,2020,C7,fish,1.1,SB018B_2020,SB018B_2020,SB018B,SB,UWSP,BG,183,99,F,Y,SB018_2020,0,EMPTY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,n,MCD422-2019,MCD422,-27.39,473.69,,7.13,146.05,,MCD2019-1,MCD,2019,C9,fish,1.5,MCD422_2019,MCD422_2019,MCD422,MCD,UWSP,LMB,231,175,M,N,MCD422_2019,NA,EMPTY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,n,MCD177-2019,MCD177,-28.32,488.44,,6.98,148.21,,MCD2019-1,MCD,2019,E3,fish,1.3,MCD177_2019,MCD177_2019,MCD177,MCD,"AA, MC, LF",YP,82,5,UNK,N,MCD177_2019,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
